,ind cell,total index,TARPg3,Islet1,Pax6,DAPI,CD15,GLT-1,Cav3.1,DAPI,CABP5,SCGN,Kv2.2,DAPI,CAVIII,Rec,DAPI,Calb,PKC,Parv,DAPI
,21_s1m1_cell 119,cell 119,983.201,1916.078,1127.944,2088.603,1504.876,1691.155,1287.984,760.609,2809.847,416.875,2156.52,1474.866,2113.644,3156.629,572.019,677.224,1431.646,1616.194,2161.497
,21_s1m1_cell 120,cell 120,616.724,1940.431,529.892,538.412,1378.233,1026.974,988.691,290.938,2353.631,383.505,2270.122,660.454,2179.272,1042.936,457.283,626.714,844.458,350.509,660.716
,21_s1m1_cell 121,cell 121,511.907,3969.494,1170.054,3043.551,1421.86,1712.311,1319.234,796.213,3304.506,812.653,2330.821,1645.962,3505.129,1906.136,671.048,657.438,990.435,322.964,2181.338
,21_s1m1_cell 122,cell 122,857.525,4045.738,478.563,2259.522,1440.919,1735.811,1226.735,758.354,2699.643,450.217,2066.236,1406.255,2294.161,3024.57,564.13,634.426,674.097,352.438,1997.796
,21_s1m1_cell 123,cell 123,661.59,3017.761,2955.55,3833.477,1544.856,1757.872,1383.068,1010.892,2790.241,495.91,2345.219,2047.386,2510.584,1652.832,733.994,706.548,730.37,339.265,2434.883
,21_s1m1_cell 124,cell 124,437.858,2245.961,528.918,2444.728,1432.476,1760.604,1412.732,747.224,3659.773,442.302,2189.851,1580.687,2688.993,2543.039,612.027,631.165,728.249,311.009,1915.984
,21_s1m1_cell 125,cell 125,465.104,2483.205,2558.8,2307.053,1554.206,1682.239,1293.802,975.485,2879.634,481.727,2374.871,2283.624,2283.902,1427.89,811.232,667.843,649.543,324.293,2668.684
,21_s1m1_cell 126,cell 126,789.133,1767.282,962.673,2313.167,1537.001,1604.749,1257.937,870.812,2809.563,404.663,2123.259,1614.984,2255.797,3144.649,577.673,723.85,1385.63,1379.631,2162.557
,21_s1m1_cell 127,cell 127,807.393,4074.339,478.575,2701.657,1433.777,1659.515,1389.966,798.279,2967.751,454.808,2082.68,1467.136,2408.656,2825.856,581.759,645.826,824.013,338.519,2031.952
,21_s1m1_cell 128,cell 128,569.163,2925.187,2856.057,3447.111,1422.814,1596.74,1436.957,922.905,3393.98,376.593,2305.402,1966.423,2301.194,1611.198,678.745,716.722,695.539,323.91,2454.236
