ROI number,Brn3a-_neg,CalR+,MEIS2+,CAVIII+,FOXP2+,Syt6+,Syt10+,Satb2+,RBPMS+,Pvalb_neg,CalB_neg,,RBPMS,Satb2+,Syt10+,Syt6+,FoxP2+,Ca8,MEIS2+,CalR,Brn3a,PValB,CalB,all,Cluster Assignment,,,,,,,,,,
52,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,AC///Syt6+//Ca8+/MEIS+/CalR+//PValB+/,1,
53,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,AC///Syt6+//Ca8+/MEIS+/CalR+/Brn3a+PValB+CalB+,1,
54,0,0,0,0,0,0,0,0,0,1,0,,AC/,/,/,/,/,/,/,/,Brn3a+,/,CalB+,AC////////Brn3a+/CalB+,29,,,,,,,,AC//Syt10+/////////,10,
55,0,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,Brn3a+,/,/,AC////////Brn3a+//,25,,,,,,,,AC//Syt10+////////CalB+,1,
56,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,AC//Syt10+///////PValB+/,6,
57,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,,,,,AC//Syt10+//////Brn3a+/CalB+,1,
58,1,0,1,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,MEIS+/,/,/,PValB+,/,AC//////MEIS+///PValB+/,3,,,,,,,,AC//Syt10+////MEIS+/////,24,
59,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,AC//Syt10+////MEIS+////CalB+,2,
60,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,AC//Syt10+////MEIS+///PValB+/,4,
61,0,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,AC////////Brn3a+PValB+CalB+,27,,,,,,,,AC//Syt10+////MEIS+///PValB+CalB+,1,
62,1,0,1,1,0,0,1,0,0,1,1,,AC/,/,Syt10+/,/,/,Ca8+/,MEIS+/,/,/,/,/,AC//Syt10+///Ca8+/MEIS+/////,6,,,,,,,,AC//Syt10+////MEIS+//Brn3a+//,2,
63,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,AC//Syt10+////MEIS+//Brn3a+/CalB+,1,
64,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,AC//Syt10+////MEIS+//Brn3a+PValB+CalB+,2,
65,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,AC//Syt10+///Ca8+/MEIS+/////,3,
66,0,0,1,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,AC//////MEIS+//Brn3a+PValB+CalB+,24,,,,,,,,AC//Syt10+///Ca8+/MEIS+/CalR+//PValB+CalB+,1,
67,0,0,1,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,AC//////MEIS+//Brn3a+PValB+CalB+,24,,,,,,,,AC//Syt10+//FoxP2+/////PValB+CalB+,1,
68,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,,,,,AC//Syt10+//FoxP2+//MEIS+/////,2,
69,1,0,0,0,0,0,0,0,0,1,0,,AC/,/,/,/,/,/,/,/,/,/,CalB+,AC//////////CalB+,17,,,,,,,,AC//Syt10+//FoxP2+//MEIS+////CalB+,1,
70,0,0,1,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,/,AC//////MEIS+//Brn3a+PValB+/,28,,,,,,,,AC//Syt10+/Syt6+////////,2,
71,0,0,0,1,1,0,0,0,0,0,0,,AC/,/,/,/,FoxP2+/,Ca8+/,/,/,Brn3a+,PValB+,CalB+,AC////FoxP2+/Ca8+///Brn3a+PValB+CalB+,8,,,,,,,,AC//Syt10+/Syt6+////CalR+//PValB+/,1,
72,0,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,AC////////Brn3a+PValB+CalB+,27,,,,,,,,AC//Syt10+/Syt6+///MEIS+/////,5,
73,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,AC//Syt10+/Syt6+///MEIS+///PValB+/,1,
74,1,0,1,0,0,1,0,0,0,1,1,,AC/,/,/,Syt6+/,/,/,MEIS+/,/,/,/,/,AC///Syt6+///MEIS+/////,2,,,,,,,,AC/Satb2+///////Brn3a+PValB+/,1,
